1,1,0
1,2,0
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,1
1,10,1
2,1,0
2,2,0
2,3,0
2,4,0
2,5,0
2,6,0
2,7,0
2,8,0
2,9,1
2,10,1
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,1
3,9,1
3,10,1
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,0
4,8,1
4,9,1
4,10,1
5,1,0
5,2,0
5,3,0
5,4,0
5,5,0
5,6,0
5,7,1
5,8,1
5,9,1
5,10,1
6,1,0
6,2,0
6,3,0
6,4,0
6,5,0
6,6,0
6,7,1
6,8,1
6,9,1
6,10,1
7,1,0
7,2,0
7,3,0
7,4,0
7,5,1
7,6,1
7,7,1
7,8,1
7,9,1
7,10,1
8,1,0
8,2,0
8,3,0
8,4,0
8,5,0
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
9,1,0
9,2,0
9,3,0
9,4,1
9,5,1
9,6,1
9,7,1
9,8,1
9,9,1
9,10,1
10,1,0
10,2,1
10,3,1
10,4,1
10,5,1
10,6,1
10,7,1
10,8,1
10,9,1
10,10,1
11,1,1
11,2,1
11,3,1
11,4,1
11,5,1
11,6,1
11,7,1
11,8,1
11,9,1
11,10,1
12,1,0
12,2,1
12,3,1
12,4,1
12,5,1
12,6,1
12,7,1
12,8,1
12,9,1
12,10,1
13,1,0
13,2,0
13,3,0
13,4,1
13,5,1
13,6,1
13,7,1
13,8,1
13,9,1
13,10,1
14,1,0
14,2,0
14,3,0
14,4,0
14,5,1
14,6,0
14,7,1
14,8,1
14,9,1
14,10,1
15,1,0
15,2,0
15,3,0
15,4,0
15,5,0
15,6,0
15,7,1
15,8,1
15,9,1
15,10,1
16,1,0
16,2,0
16,3,0
16,4,0
16,5,0
16,6,0
16,7,0
16,8,1
16,9,1
16,10,1
17,1,0
17,2,0
17,3,0
17,4,0
17,5,0
17,6,0
17,7,0
17,8,0
17,9,0
17,10,0
18,1,0
18,2,0
18,3,0
18,4,0
18,5,0
18,6,0
18,7,0
18,8,0
18,9,0
18,10,0
19,1,0
19,2,0
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,0
19,9,0
19,10,0
20,1,0
20,2,0
20,3,0
20,4,0
20,5,0
20,6,0
20,7,0
20,8,0
20,9,0
20,10,0
